,Bulter,,,,,,,,,SOE(Indonesia),,,,,,,,,,,,,,,,,Filter (Ethiopia Guji Sakicha Natural),,,,,,,,
,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Tune by,Weigh in,Weigh out,Ratio,Grind Size,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Tune by,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Drip volume,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark
2021/11/22,19,36.7,1.9,9.80,11.79,18.9,2/11,almond dark chocolate,simon,20,50.2,2.51,1.2,7.84,9.53,19.6784,26/10,lemon  light tea finish,Simon,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/23,19,38.2,2.0,9.86,11.86,19.8,9/11,"almond, chocolate",simon,20,49.3,2.465,1.25,7.71,9.38,19.00515,26/10,lemon peels light tea finish,Simon,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/24,19.5,39,2.0,9.58,11.53),19.2,9/11,"Almond ,chocolate",paul,20,49.3,2.465,1.2,8.67,10.49,21.37155,26/10,lemon zest . tea finish,Paul,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/25,18.8,37.7,2.0,9.29,11.21,18.6,9/11,"Almond ,chocolate",mandy,20,47,2.35,1.25,8.11,9.84,19.0585,26/10,"Yuzu peel , tea finish ",mandy,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/26,18.8,36.5,1.9,10.25,12.30,19.9,9/11,Almond chocolate,Simon,20,49.3,2.465,1.25,8.43,10.21,20.77995,26/10,yuzi tea finish,Simon,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/27,19,43,2.3,8.50,10.30,19.2,9/11,"Almomd, caramel, dark chocolate ",Ellen,20,48,2.4,1.2,7.55,9.21,18.12,26/10,"lemon, yuzi , red tea finishs",Ellen,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/28,18.8,38,2.0,10.06,12.08,20.3,9/11,almond chocolate,simon,20,49,2.45,1.2,7.92,9.62,19.404,26/10,"lemon,yuzi, tea. finish",simon,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/29,19,39.8,2.1,10.41,12.49,21.8,9/11,chocolate,Mandy,20,46.7,2.335,1.2,8.5,10.05,19.8475,26/10,"Lemon,tea finish ",Mandy,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/30,19,38.6,2.0,10.18,12.23,20.7,16/11,"chocolate, hazelnut ",Simon,20,51,2.55,1.15,8.06,9.78,20.553,26/10,lemon tea finish,simon,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,,#DIV/0!,,,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
